timestamp_iso8601,inference_time_ms,predicted_temperature_c_plus_00h30m,predicted_temperature_c_plus_01h00m,predicted_temperature_c_plus_01h30m,predicted_temperature_c_plus_02h00m,predicted_temperature_c_plus_02h30m,predicted_temperature_c_plus_03h00m,predicted_temperature_c_plus_03h30m,predicted_temperature_c_plus_04h00m,predicted_temperature_c_plus_04h30m,predicted_temperature_c_plus_05h00m,predicted_temperature_c_plus_05h30m,predicted_temperature_c_plus_06h00m,predicted_temperature_c_plus_06h30m,predicted_temperature_c_plus_07h00m,predicted_temperature_c_plus_07h30m,predicted_temperature_c_plus_08h00m,predicted_temperature_c_plus_08h30m,predicted_temperature_c_plus_09h00m,predicted_temperature_c_plus_09h30m,predicted_temperature_c_plus_10h00m,predicted_temperature_c_plus_10h30m,predicted_temperature_c_plus_11h00m,predicted_temperature_c_plus_11h30m,predicted_temperature_c_plus_12h00m
2026-03-31T00:18:05Z,3,24.603390,24.372995,24.251335,24.090542,23.932615,23.753859,23.657713,23.672647,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037
2026-03-31T00:48:05Z,3,24.381479,24.251335,24.099026,23.932615,23.753859,23.657713,23.672647,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.681122
2026-03-31T01:18:05Z,3,24.259819,24.090542,23.932615,23.753859,23.657713,23.672647,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.642363
2026-03-31T01:48:05Z,3,24.107510,23.941099,23.753859,23.657713,23.672647,23.669640,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.681122,26.625395,27.268684
2026-03-31T02:18:05Z,2,23.949583,23.753859,23.657713,23.672647,23.661156,23.693451,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.698090,26.633879,27.251717,27.676153
2026-03-31T02:48:06Z,3,23.753859,23.657713,23.672647,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.650846,27.234749,27.642218,28.545145
2026-03-31T03:18:06Z,3,23.657713,23.672647,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.681122,26.616911,27.294136,27.633734,28.519693,28.972729
2026-03-31T03:48:06Z,3,23.672647,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.659330,27.243233,27.727057,28.511209,28.938793,29.374874
2026-03-31T04:18:07Z,3,23.661156,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.681122,26.616911,27.285652,27.650702,28.604532,28.930309,29.349422,29.292898
2026-03-31T04:48:06Z,2,23.684967,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.659330,27.226265,27.693121,28.545145,29.040602,29.340939,29.267447,29.598593
2026-03-31T05:18:06Z,3,23.444355,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.919004,25.706573,26.616911,27.260201,27.633734,28.553629,28.938793,29.408810,29.250479,29.556173,29.968582
2026-03-31T05:48:06Z,3,23.417713,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.723541,26.676298,27.234749,27.676153,28.502726,28.972729,29.349422,29.318350,29.564657,29.934647,29.767511
2026-03-31T06:18:06Z,3,23.302988,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.676298,27.277168,27.650702,28.570597,28.913342,29.400326,29.267447,29.657980,29.934647,29.759027,30.039722
2026-03-31T06:48:06Z,3,23.252605,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.681122,26.616911,27.294136,27.693121,28.519693,28.972729,29.332455,29.292898,29.556173,30.027969,29.750544,30.005787,29.539503
2026-03-31T07:18:06Z,3,23.249458,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.616911,27.234749,27.718573,28.587564,28.947277,29.383358,29.233511,29.607077,29.951614,29.835382,30.005787,29.505568,29.689251
2026-03-31T07:48:06Z,2,23.188946,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.689606,26.616911,27.243233,27.642218,28.596048,29.006664,29.349422,29.292898,29.547689,29.985550,29.759027,30.082142,29.514051,29.655315,29.459280
2026-03-31T08:18:06Z,3,23.142838,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.642363,27.234749,27.642218,28.519693,29.023632,29.417294,29.258963,29.607077,29.926163,29.784479,30.014271,29.581923,29.663799,29.416861,29.193832
2026-03-31T08:48:06Z,3,23.174522,23.013884,23.050585,22.969576,23.105604,23.748037,24.902037,25.672638,26.625395,27.277168,27.642218,28.519693,28.930309,29.417294,29.326834,29.564657,29.985550,29.733576,30.031239,29.514051,29.731670,29.442312,29.159897,28.469170
2026-03-31T09:18:06Z,3,23.013884,23.050585,22.969576,23.105604,23.748037,24.919004,25.698090,26.616911,27.260201,27.684637,28.519693,28.947277,29.340939,29.326834,29.641012,29.951614,29.792963,29.988819,29.539503,29.663799,29.501699,29.185349,28.443718,27.601480
2026-03-31T09:48:06Z,3,23.050585,22.969576,23.105604,23.748037,24.902037,25.715057,26.650846,27.234749,27.667669,28.562113,28.938793,29.349422,29.250479,29.641012,30.019485,29.759027,30.048206,29.497084,29.689251,29.433828,29.244736,28.460686,27.576029,27.030220
2026-03-31T10:18:06Z,3,22.969576,23.105604,23.748037,24.910521,25.672638,26.667814,27.277168,27.642218,28.536661,28.981213,29.340939,29.258963,29.564657,30.027969,29.826899,30.014271,29.556471,29.646832,29.459280,29.176865,28.520073,27.592997,27.013250,26.321924
2026-03-31T10:48:06Z,3,23.105604,23.748037,24.910521,25.715057,26.616911,27.302620,27.684637,28.519693,28.955761,29.391842,29.250479,29.573141,29.951614,29.826899,30.090626,29.514051,29.697735,29.425344,29.202316,28.460686,27.652384,27.021734,26.313440,25.751415
2026-03-31T11:18:06Z,3,23.748037,24.902037,25.706573,26.667814,27.226265,27.710089,28.570597,28.938793,29.357906,29.301382,29.564657,29.951614,29.759027,30.082142,29.598890,29.672283,29.467764,29.159897,28.494621,27.584513,27.081123,26.313440,25.751415,25.332899
2026-03-31T11:48:06Z,3,24.902037,25.681122,26.676298,27.302620,27.625250,28.596048,28.989697,29.349422,29.267447,29.624044,29.951614,29.759027,30.014271,29.590406,29.748638,29.442312,29.210800,28.443718,27.618448,27.013250,26.364344,25.751415,25.332899,24.991991
2026-03-31T12:18:06Z,3,25.698090,26.650846,27.319588,27.727057,28.519693,29.023632,29.417294,29.267447,29.573141,30.019485,29.767511,30.022755,29.522535,29.731670,29.518667,29.185349,28.494621,27.584513,27.055672,26.313440,25.785351,25.332899,24.991991,24.779541
2026-03-31T12:48:06Z,2,26.667814,27.294136,27.744024,28.621500,28.955761,29.442745,29.335318,29.590109,29.968582,29.835382,30.022755,29.539503,29.680767,29.510183,29.261703,28.469170,27.626932,27.013250,26.355860,25.751415,25.366835,24.991991,24.779541,24.513189
2026-03-31T13:18:06Z,3,27.294136,27.710089,28.613016,29.032118,29.357906,29.343801,29.649496,29.977066,29.767511,30.090626,29.531019,29.689251,29.450796,29.244736,28.545525,27.601480,27.055672,26.313440,25.768383,25.332899,25.008959,24.779541,24.513189,24.313845
2026-03-31T13:48:06Z,3,27.710089,28.587564,29.023632,29.434261,29.275930,29.657980,30.019485,29.784479,30.014271,29.590406,29.680767,29.459280,29.202316,28.520073,27.669352,27.030220,26.355860,25.751415,25.341383,24.991991,24.788025,24.513189,24.313845,24.247925
2026-03-31T14:18:06Z,3,28.494242,28.904858,29.340939,29.241995,29.522238,29.960098,29.759027,30.005787,29.547987,29.689251,29.442312,29.202316,28.469170,27.618448,27.038704,26.313440,25.768383,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088
2026-03-31T14:48:06Z,3,28.904858,29.298519,29.233511,29.547689,29.900711,29.750544,29.971851,29.497084,29.689251,29.450796,29.168381,28.477654,27.592997,27.030220,26.330408,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977
2026-03-31T15:18:06Z,3,29.357906,29.275930,29.607077,29.968582,29.750544,30.031239,29.547987,29.663799,29.433828,29.202316,28.460686,27.592997,27.013250,26.321924,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254
2026-03-31T15:48:06Z,3,29.208059,29.530722,29.926163,29.733576,29.971851,29.514051,29.672283,29.450796,29.202316,28.486137,27.601480,27.047188,26.330408,25.751415,25.341383,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131
2026-03-31T16:18:06Z,3,29.522238,29.892227,29.699640,29.963367,29.463148,29.638348,29.416861,29.168381,28.469170,27.592997,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179
2026-03-31T16:48:06Z,3,29.892227,29.699640,29.954884,29.463148,29.612896,29.391407,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252
2026-03-31T17:18:06Z,3,29.699640,29.954884,29.463148,29.612896,29.382923,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300
2026-03-31T17:48:06Z,3,29.954884,29.463148,29.612896,29.382923,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373
2026-03-31T18:18:06Z,3,29.463148,29.612896,29.382923,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800
2026-03-31T18:48:06Z,2,29.612896,29.382923,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177
2026-03-31T19:18:06Z,2,29.382923,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026
2026-03-31T19:48:06Z,2,29.134445,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353
2026-03-31T20:18:06Z,3,28.426750,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431
2026-03-31T20:48:06Z,3,27.576029,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245
2026-03-31T21:18:06Z,3,27.013250,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245,22.611675
2026-03-31T21:48:06Z,2,26.313440,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245,22.611675,22.423388
2026-03-31T22:18:06Z,3,25.751415,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245,22.611675,22.423388,22.524788
2026-03-31T22:48:06Z,3,25.332899,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245,22.611675,22.423388,22.524788,22.837111
2026-03-31T23:18:06Z,3,24.991991,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245,22.611675,22.423388,22.524788,22.837111,23.175592
2026-03-31T23:48:06Z,3,24.779541,24.513189,24.313845,24.247925,24.207088,24.201977,24.128254,23.792131,23.761179,23.601252,23.819300,23.651373,23.370800,23.309177,23.141026,22.969353,22.848431,22.800245,22.611675,22.423388,22.524788,22.837111,23.175592,24.173433
