timestamp_iso8601,inference_time_ms,method,history_slots,season_length_slots,forecast_t+30m_c,forecast_t+60m_c,forecast_t+90m_c,forecast_t+120m_c,forecast_t+150m_c,forecast_t+180m_c,forecast_t+210m_c,forecast_t+240m_c,forecast_t+270m_c,forecast_t+300m_c,forecast_t+330m_c,forecast_t+360m_c,forecast_t+390m_c,forecast_t+420m_c,forecast_t+450m_c,forecast_t+480m_c,forecast_t+510m_c,forecast_t+540m_c,forecast_t+570m_c,forecast_t+600m_c,forecast_t+630m_c,forecast_t+660m_c,forecast_t+690m_c,forecast_t+720m_c
2026-03-25T07:07:39Z,0,seasonal_naive_24h,53,48,25.8221,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8183,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697
2026-03-25T07:12:39Z,0,seasonal_naive_24h,53,48,25.8221,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8159,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697
2026-03-25T07:17:39Z,0,seasonal_naive_24h,53,48,25.8221,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8196,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697
2026-03-25T07:22:39Z,1,seasonal_naive_24h,53,48,25.8221,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8175,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697
2026-03-25T07:27:39Z,0,seasonal_naive_24h,116,48,27.4176,27.2289,27.0658,26.8920,26.7394,26.6044,26.4865,26.3645,26.2947,26.2447,26.0838,25.9743,25.8761,25.7102,25.5521,25.6696,26.0669,26.5140,27.0712,27.5992,28.0794,28.5421,28.9277,29.3139
2026-03-25T07:32:39Z,0,seasonal_naive_24h,56,48,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,23.9703,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080
2026-03-25T07:37:39Z,0,seasonal_naive_24h,56,48,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0092,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080
2026-03-25T07:42:39Z,0,seasonal_naive_24h,56,48,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0598,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080
2026-03-25T07:47:39Z,0,seasonal_naive_24h,56,48,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0855,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080
2026-03-25T07:52:39Z,0,seasonal_naive_24h,56,48,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.1068,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080
2026-03-25T07:57:39Z,0,seasonal_naive_24h,56,48,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0949,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080
2026-03-25T08:02:39Z,0,seasonal_naive_24h,59,48,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6857,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944
2026-03-25T08:07:39Z,0,seasonal_naive_24h,59,48,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6309,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944
2026-03-25T08:13:49Z,0,seasonal_naive_24h,59,48,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6815,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944
2026-03-25T08:18:49Z,0,seasonal_naive_24h,54,48,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6886,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944
2026-03-25T08:23:49Z,0,seasonal_naive_24h,54,48,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6998,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944
2026-03-25T08:28:49Z,0,seasonal_naive_24h,54,48,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6835,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944
2026-03-25T08:38:49Z,0,seasonal_naive_24h,57,48,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6844,23.6333,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438
2026-03-25T08:43:49Z,0,seasonal_naive_24h,76,48,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6844,23.5571,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438
2026-03-25T08:53:49Z,0,seasonal_naive_24h,57,48,24.3080,24.3195,24.5944,24.2007,24.0438,24.0470,23.8504,24.0742,23.6844,23.4850,25.6212,25.5372,25.3846,25.2192,25.0334,24.8157,24.6545,24.4697,24.3798,24.3080,24.3195,24.5944,24.2007,24.0438
