timestamp_iso8601,inference_time_ms,predicted_temperature_c_plus_00h30m,predicted_temperature_c_plus_01h00m,predicted_temperature_c_plus_01h30m,predicted_temperature_c_plus_02h00m,predicted_temperature_c_plus_02h30m,predicted_temperature_c_plus_03h00m,predicted_temperature_c_plus_03h30m,predicted_temperature_c_plus_04h00m,predicted_temperature_c_plus_04h30m,predicted_temperature_c_plus_05h00m,predicted_temperature_c_plus_05h30m,predicted_temperature_c_plus_06h00m,predicted_temperature_c_plus_06h30m,predicted_temperature_c_plus_07h00m,predicted_temperature_c_plus_07h30m,predicted_temperature_c_plus_08h00m,predicted_temperature_c_plus_08h30m,predicted_temperature_c_plus_09h00m,predicted_temperature_c_plus_09h30m,predicted_temperature_c_plus_10h00m,predicted_temperature_c_plus_10h30m,predicted_temperature_c_plus_11h00m,predicted_temperature_c_plus_11h30m,predicted_temperature_c_plus_12h00m
2026-02-23T20:19:36Z,137,26.364714,26.364714,26.218245,26.218245,26.364714,26.071774,25.632360,25.339420,25.192949,25.192949,24.900007,24.607067,24.460596,24.314125,23.874714,24.167654,24.167654,24.314125,24.607067,24.900007,25.046478,24.607067,25.192949,25.046478
2026-02-23T20:24:34Z,139,26.218245,26.218245,26.071774,26.071774,26.071774,25.925303,25.485891,25.192949,25.046478,25.192949,24.753538,24.460596,24.314125,24.167654,23.728243,24.021185,24.021185,24.167654,24.460596,24.753538,24.900007,24.607067,25.046478,25.046478
2026-02-23T20:29:32Z,139,26.511185,26.511185,26.657656,26.657656,26.950598,26.804127,26.511185,26.364714,26.364714,26.364714,26.071774,25.485891,25.339420,25.192949,24.753538,24.753538,24.607067,24.753538,24.900007,25.192949,25.192949,24.753538,25.339420,25.192949
2026-02-23T20:34:30Z,139,27.975891,27.829420,27.536480,27.243538,26.950598,26.804127,26.364714,25.925303,25.925303,25.925303,25.778831,25.339420,25.192949,25.046478,24.460596,24.607067,24.460596,24.460596,24.460596,24.607067,24.607067,24.167654,24.607067,24.460596
2026-02-23T20:39:28Z,139,26.950598,26.804127,26.657656,26.657656,26.511185,26.364714,25.925303,25.632360,25.632360,25.632360,25.339420,24.900007,24.753538,24.607067,24.167654,24.314125,24.167654,24.314125,24.460596,24.753538,24.753538,24.460596,24.900007,24.753538
2026-02-23T20:44:26Z,137,28.854715,28.708244,28.268833,27.975891,27.682951,27.390009,26.804127,26.511185,26.511185,26.511185,26.218245,25.925303,25.632360,25.485891,24.900007,24.900007,24.753538,24.753538,24.607067,24.607067,24.607067,24.167654,24.607067,24.314125
2026-02-23T20:49:24Z,138,27.975891,27.829420,27.536480,27.243538,26.950598,26.804127,26.364714,25.925303,25.925303,26.071774,25.778831,25.485891,25.192949,25.046478,24.460596,24.607067,24.460596,24.460596,24.460596,24.460596,24.607067,24.167654,24.607067,24.314125
2026-02-23T20:54:23Z,139,27.829420,27.536480,27.243538,27.097067,26.804127,26.657656,26.218245,25.778831,25.925303,25.925303,25.632360,25.339420,25.046478,24.900007,24.314125,24.460596,24.314125,24.314125,24.314125,24.460596,24.607067,24.167654,24.607067,24.460596
2026-02-23T20:59:21Z,139,26.071774,26.071774,25.925303,25.925303,25.925303,25.778831,25.339420,25.046478,24.900007,25.046478,24.607067,24.314125,24.167654,24.167654,23.581772,24.021185,23.874714,24.167654,24.460596,24.900007,25.046478,24.607067,25.046478,25.046478
2026-02-23T21:04:19Z,137,28.708244,28.561773,28.268833,27.829420,27.682951,27.243538,26.950598,26.511185,26.511185,26.511185,26.218245,25.925303,25.632360,25.485891,24.900007,24.900007,24.753538,24.753538,24.607067,24.753538,24.607067,24.314125,24.607067,24.460596
2026-02-23T21:09:17Z,138,26.950598,26.950598,26.657656,26.657656,26.511185,26.364714,25.925303,25.632360,25.632360,25.632360,25.339420,25.046478,24.753538,24.753538,24.167654,24.314125,24.167654,24.314125,24.314125,24.607067,24.753538,24.314125,24.753538,24.607067
2026-02-23T21:14:16Z,139,27.682951,27.536480,27.243538,27.097067,26.804127,26.657656,26.218245,25.778831,25.778831,25.925303,25.632360,25.339420,25.046478,24.900007,24.460596,24.460596,24.314125,24.314125,24.314125,24.460596,24.607067,24.167654,24.607067,24.460596
2026-02-23T21:19:14Z,139,26.218245,26.218245,26.071774,26.071774,26.071774,25.925303,25.485891,25.192949,25.046478,25.046478,24.753538,24.460596,24.314125,24.167654,23.728243,24.021185,23.874714,24.167654,24.460596,24.753538,24.900007,24.460596,25.046478,25.046478
2026-02-23T21:24:12Z,138,26.218245,26.218245,26.071774,26.218245,26.364714,26.071774,25.632360,25.339420,25.339420,25.339420,25.046478,24.460596,24.460596,24.314125,23.874714,24.167654,24.167654,24.460596,24.753538,25.192949,25.339420,25.046478,25.485891,25.339420
2026-02-23T21:29:11Z,139,26.218245,26.218245,26.071774,26.071774,26.071774,25.925303,25.485891,25.192949,25.046478,25.046478,24.753538,24.460596,24.314125,24.167654,23.728243,24.021185,24.021185,24.167654,24.460596,24.753538,24.900007,24.607067,25.046478,25.046478
2026-02-23T21:34:09Z,137,26.511185,26.364714,26.364714,26.218245,26.364714,26.071774,25.632360,25.339420,25.339420,25.339420,25.046478,24.607067,24.460596,24.314125,23.874714,24.167654,24.167654,24.314125,24.607067,24.900007,25.046478,24.607067,25.192949,25.046478
2026-02-23T21:39:07Z,139,26.071774,26.071774,26.071774,26.071774,26.071774,25.925303,25.485891,25.192949,25.046478,25.046478,24.753538,24.460596,24.167654,24.167654,23.728243,24.021185,24.021185,24.167654,24.460596,24.900007,25.046478,24.607067,25.192949,25.192949
2026-02-23T21:44:05Z,139,25.925303,25.925303,25.925303,25.925303,25.925303,25.778831,25.192949,25.046478,24.900007,24.900007,24.607067,24.314125,24.167654,24.021185,23.581772,23.874714,23.874714,24.021185,24.314125,24.753538,24.900007,24.607067,25.046478,25.046478
2026-02-23T21:49:04Z,139,26.657656,26.657656,26.511185,26.364714,26.511185,26.218245,25.778831,25.485891,25.485891,25.339420,25.046478,24.753538,24.607067,24.460596,24.021185,24.167654,24.167654,24.314125,24.607067,24.900007,25.046478,24.607067,25.046478,25.046478
2026-02-23T21:54:02Z,139,26.511185,26.364714,26.218245,26.218245,26.218245,26.071774,25.632360,25.339420,25.192949,25.192949,24.900007,24.607067,24.460596,24.314125,23.874714,24.021185,24.021185,24.167654,24.460596,24.753538,24.900007,24.460596,25.046478,24.900007
2026-02-23T21:59:00Z,139,26.071774,26.071774,26.071774,26.071774,26.071774,25.925303,25.485891,25.192949,25.046478,25.192949,24.753538,24.460596,24.314125,24.167654,23.728243,24.021185,24.021185,24.314125,24.607067,24.900007,25.046478,24.753538,25.192949,25.192949
2026-02-23T22:03:58Z,140,26.218245,26.218245,26.071774,26.071774,26.071774,25.925303,25.485891,25.192949,25.046478,25.046478,24.753538,24.460596,24.314125,24.167654,23.728243,24.021185,24.021185,24.167654,24.460596,24.753538,24.900007,24.607067,25.046478,25.046478
2026-02-23T22:08:56Z,139,26.218245,26.218245,26.218245,26.071774,26.218245,25.925303,25.485891,25.192949,25.046478,25.192949,24.753538,24.460596,24.314125,24.314125,23.728243,24.021185,24.021185,24.314125,24.460596,24.900007,25.046478,24.607067,25.046478,25.046478
2026-02-23T22:13:54Z,139,26.218245,26.218245,26.071774,26.071774,26.218245,25.925303,25.485891,25.339420,25.192949,25.192949,24.900007,24.460596,24.314125,24.314125,23.874714,24.021185,24.021185,24.314125,24.460596,24.900007,25.046478,24.753538,25.192949,25.046478
