timestamp_iso8601,sensor,quantity,value,unit
2025-09-07T14:31:07Z,bme280,pressure_pa,101425.515625,Pa
2025-09-07T14:31:16Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:31:17Z,bme280,temperature_c,32.870506,degC
2025-09-07T14:31:17Z,bme280,pressure_pa,101423.132812,Pa
2025-09-07T14:31:17Z,bme280,humidity_pct,69.878471,pct
2025-09-07T14:31:26Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:31:27Z,bme280,temperature_c,32.880592,degC
2025-09-07T14:31:27Z,bme280,pressure_pa,101427.554688,Pa
2025-09-07T14:31:27Z,bme280,humidity_pct,70.134689,pct
2025-09-07T14:31:36Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:37:21Z,veml7700,lux_lx,2.688000,lx
2025-09-07T14:37:22Z,bme280,temperature_c,32.325840,degC
2025-09-07T14:37:22Z,bme280,pressure_pa,101420.398438,Pa
2025-09-07T14:37:22Z,bme280,humidity_pct,73.128098,pct
2025-09-07T14:37:27Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:37:27Z,veml7700,lux_lx,5904.998047,lx
2025-09-07T14:37:27Z,bme280,temperature_c,32.371227,degC
2025-09-07T14:37:27Z,bme280,pressure_pa,101419.703125,Pa
2025-09-07T14:37:27Z,bme280,humidity_pct,73.231964,pct
2025-09-07T14:37:37Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:37:38Z,bme280,temperature_c,32.376270,degC
2025-09-07T14:37:38Z,bme280,pressure_pa,101415.078125,Pa
2025-09-07T14:37:38Z,bme280,humidity_pct,71.820114,pct
2025-09-07T14:37:47Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:37:47Z,veml7700,lux_lx,5670.604492,lx
2025-09-07T14:37:48Z,bme280,temperature_c,32.315754,degC
2025-09-07T14:37:48Z,bme280,pressure_pa,101421.445312,Pa
2025-09-07T14:37:48Z,bme280,humidity_pct,71.074417,pct
2025-09-07T14:37:57Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:37:58Z,bme280,temperature_c,32.295582,degC
2025-09-07T14:37:58Z,bme280,pressure_pa,101423.578125,Pa
2025-09-07T14:37:58Z,bme280,humidity_pct,71.625084,pct
2025-09-07T14:38:07Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:38:07Z,veml7700,lux_lx,5829.734375,lx
2025-09-07T14:38:08Z,bme280,temperature_c,32.260277,degC
2025-09-07T14:38:08Z,bme280,pressure_pa,101431.382812,Pa
2025-09-07T14:38:08Z,bme280,humidity_pct,72.382271,pct
2025-09-07T14:38:17Z,lm393,is_raining,0.000000,N/A
2025-09-07T14:38:18Z,bme280,temperature_c,32.230019,degC
2025-09-07T14:38:18Z,bme280,pressure_pa,101420.898438,Pa
2025-09-07T14:38:18Z,bme280,humidity_pct,72.706543,pct
