timestamp_iso8601,predicted_temperature_c_plus_00h30m,predicted_temperature_c_plus_01h00m,predicted_temperature_c_plus_01h30m,predicted_temperature_c_plus_02h00m,predicted_temperature_c_plus_02h30m,predicted_temperature_c_plus_03h00m,predicted_temperature_c_plus_03h30m,predicted_temperature_c_plus_04h00m,predicted_temperature_c_plus_04h30m,predicted_temperature_c_plus_05h00m,predicted_temperature_c_plus_05h30m,predicted_temperature_c_plus_06h00m,predicted_temperature_c_plus_06h30m,predicted_temperature_c_plus_07h00m,predicted_temperature_c_plus_07h30m,predicted_temperature_c_plus_08h00m,predicted_temperature_c_plus_08h30m,predicted_temperature_c_plus_09h00m,predicted_temperature_c_plus_09h30m,predicted_temperature_c_plus_10h00m,predicted_temperature_c_plus_10h30m,predicted_temperature_c_plus_11h00m,predicted_temperature_c_plus_11h30m,predicted_temperature_c_plus_12h00m
2025-12-04T00:03:09Z,-105.000000,120.000000,88.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-7.000000,127.000000,-17.000000,62.000000,-64.000000,-50.000000,37.000000,62.000000,-124.000000,-35.000000,-45.000000,-66.000000,-65.000000,-82.000000,97.000000,-65.000000
2025-12-04T00:08:07Z,-105.000000,120.000000,88.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-7.000000,127.000000,-17.000000,62.000000,-64.000000,-50.000000,37.000000,62.000000,-124.000000,-35.000000,-45.000000,-66.000000,-65.000000,-82.000000,97.000000,-65.000000
2025-12-04T00:13:05Z,-105.000000,120.000000,88.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-7.000000,127.000000,-17.000000,62.000000,-64.000000,-50.000000,37.000000,62.000000,-124.000000,-35.000000,-45.000000,-66.000000,-65.000000,-82.000000,97.000000,-65.000000
2025-12-04T00:18:03Z,-105.000000,120.000000,88.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-7.000000,127.000000,-17.000000,62.000000,-64.000000,-50.000000,37.000000,62.000000,-124.000000,-35.000000,-45.000000,-66.000000,-65.000000,-82.000000,97.000000,-65.000000
2025-12-04T00:23:01Z,-124.000000,-35.000000,83.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-46.000000,73.000000,-26.000000,62.000000,114.000000,98.000000,19.000000,62.000000,-85.000000,19.000000,-35.000000,-66.000000,-26.000000,-28.000000,106.000000,-65.000000
2025-12-04T00:27:58Z,-124.000000,-35.000000,83.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-46.000000,73.000000,-26.000000,62.000000,114.000000,98.000000,19.000000,62.000000,-85.000000,19.000000,-35.000000,-66.000000,-26.000000,-28.000000,106.000000,-65.000000
2025-12-04T00:32:56Z,-124.000000,-35.000000,83.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-46.000000,73.000000,-26.000000,62.000000,114.000000,98.000000,19.000000,62.000000,-85.000000,19.000000,-35.000000,-66.000000,-26.000000,-28.000000,106.000000,-65.000000
2025-12-04T00:37:54Z,-124.000000,-35.000000,83.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-46.000000,73.000000,-26.000000,62.000000,114.000000,98.000000,19.000000,62.000000,-85.000000,19.000000,-35.000000,-66.000000,-26.000000,-28.000000,106.000000,-65.000000
2025-12-04T00:42:52Z,-124.000000,-35.000000,83.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-46.000000,73.000000,-26.000000,62.000000,114.000000,98.000000,19.000000,62.000000,-85.000000,19.000000,-35.000000,-66.000000,-26.000000,-28.000000,106.000000,-65.000000
2025-12-04T00:47:50Z,-124.000000,-35.000000,83.000000,63.000000,112.000000,66.000000,79.000000,63.000000,-46.000000,73.000000,-26.000000,62.000000,114.000000,98.000000,19.000000,62.000000,-85.000000,19.000000,-35.000000,-66.000000,-26.000000,-28.000000,106.000000,-65.000000
2025-12-04T00:52:48Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T00:57:45Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:02:43Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:07:41Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:12:39Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:17:36Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:22:34Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:27:32Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:32:30Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:37:28Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
2025-12-04T01:42:25Z,-85.000000,19.000000,-35.000000,62.000000,-64.000000,-50.000000,-91.000000,62.000000,0.000000,0.000000,0.000000,0.000000,-85.000000,19.000000,93.000000,-66.000000,-83.000000,51.000000,33.000000,-65.000000,52.000000,81.000000,125.000000,-65.000000
